run_id,seed,arm,persona_id,quadrant,template,axis,slope,r5_minus_r1
persona.high_e_high_n.seed-3001.feedback_only,3001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,joyful,-0.0014862224459648132,-0.008389592170715332
persona.high_e_high_n.seed-3001.feedback_only,3001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,grief_stricken,0.0036264508962631226,0.010467901825904846
persona.high_e_high_n.seed-3001.feedback_only,3001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,furious,0.0023852728307247164,0.010968539863824844
persona.high_e_high_n.seed-3001.supportive,3001,supportive,persona.high_e_high_n,high_e_high_n,v1,joyful,1.4360249042510987e-05,-0.0033898204565048218
persona.high_e_high_n.seed-3001.supportive,3001,supportive,persona.high_e_high_n,high_e_high_n,v1,grief_stricken,0.0020633906126022337,0.002867668867111206
persona.high_e_high_n.seed-3001.supportive,3001,supportive,persona.high_e_high_n,high_e_high_n,v1,furious,0.003153388574719429,0.012546095997095108
persona.high_e_high_n.seed-3001.neutral,3001,neutral,persona.high_e_high_n,high_e_high_n,v1,joyful,-0.002452351152896881,-0.011444836854934692
persona.high_e_high_n.seed-3001.neutral,3001,neutral,persona.high_e_high_n,high_e_high_n,v1,grief_stricken,0.0011637061834335327,0.001358523964881897
persona.high_e_high_n.seed-3001.neutral,3001,neutral,persona.high_e_high_n,high_e_high_n,v1,furious,0.0044956192374229435,0.017557989805936813
persona.high_e_high_n.seed-3002.feedback_only,3002,feedback_only,persona.high_e_high_n,high_e_high_n,v1,joyful,-0.0014862224459648132,-0.008389592170715332
persona.high_e_high_n.seed-3002.feedback_only,3002,feedback_only,persona.high_e_high_n,high_e_high_n,v1,grief_stricken,0.0036264508962631226,0.010467901825904846
persona.high_e_high_n.seed-3002.feedback_only,3002,feedback_only,persona.high_e_high_n,high_e_high_n,v1,furious,0.0023852728307247164,0.010968539863824844
persona.high_e_high_n.seed-3002.supportive,3002,supportive,persona.high_e_high_n,high_e_high_n,v1,joyful,1.4360249042510987e-05,-0.0033898204565048218
persona.high_e_high_n.seed-3002.supportive,3002,supportive,persona.high_e_high_n,high_e_high_n,v1,grief_stricken,0.0020633906126022337,0.002867668867111206
persona.high_e_high_n.seed-3002.supportive,3002,supportive,persona.high_e_high_n,high_e_high_n,v1,furious,0.003153388574719429,0.012546095997095108
persona.high_e_high_n.seed-3002.neutral,3002,neutral,persona.high_e_high_n,high_e_high_n,v1,joyful,-0.002452351152896881,-0.011444836854934692
persona.high_e_high_n.seed-3002.neutral,3002,neutral,persona.high_e_high_n,high_e_high_n,v1,grief_stricken,0.0011637061834335327,0.001358523964881897
persona.high_e_high_n.seed-3002.neutral,3002,neutral,persona.high_e_high_n,high_e_high_n,v1,furious,0.0044956192374229435,0.017557989805936813
