seed,axis,contrast,overall_slope,extraversion_slope,neuroticism_slope,interaction_slope,overall_r5_minus_r1,extraversion_r5_minus_r1,neuroticism_r5_minus_r1,interaction_r5_minus_r1
3001,joyful,neutral_minus_feedback_only,-0.0009198931356271109,3.963808218638106e-05,-8.332555492719006e-05,7.038364807764681e-05,-0.0031534011165301004,0.0006985316673914594,-0.0004577338695526121,0.0003090004126230874
3002,joyful,neutral_minus_feedback_only,-0.0009198931356271109,3.963808218638106e-05,-8.332555492719006e-05,7.038364807764681e-05,-0.0031534011165301004,0.0006985316673914594,-0.0004577338695526121,0.0003090004126230874
3003,joyful,neutral_minus_feedback_only,-0.001938876323401928,2.2709245483080467e-05,-5.7536736130714395e-05,8.464579780896489e-05,-0.007084075982371966,0.000620289395252863,-0.0002915225923061375,0.00028285632530848214
3004,joyful,neutral_minus_feedback_only,-0.00030050234248240796,-0.0006975443412860236,3.1677385171248874e-07,0.0010077821711699168,-0.0016542238493760428,-0.0023746564984321594,-0.0003424187501271565,0.004279474417368571
3005,joyful,neutral_minus_feedback_only,-0.0009198931356271109,3.963808218638106e-05,-8.332555492719006e-05,7.038364807764681e-05,-0.0031534011165301004,0.0006985316673914594,-0.0004577338695526121,0.0003090004126230874
3006,joyful,neutral_minus_feedback_only,0.0006500223030646642,0.0001385107636451721,-0.00016665607690811155,6.553481022516887e-05,0.0043877121061086655,0.0007477713127930952,-0.0007222530742486319,0.0003460471828778582
3007,joyful,neutral_minus_feedback_only,-0.0010516072933872541,-0.0002237902333339056,6.340319911638979e-06,0.0002497153977553049,-0.0037650614976882935,-0.000524789094924927,-4.551062981287602e-05,0.0011334468921025587
3008,joyful,neutral_minus_feedback_only,-0.000928414985537529,3.159791231155439e-06,9.961873292922978e-05,2.06679105758667e-05,-0.0031960103660821915,0.0005161402126153312,0.0004569875697294872,6.042172511418675e-05
3009,joyful,neutral_minus_feedback_only,-0.0009532024463017781,8.091603716214488e-05,3.518437345822643e-05,8.787413438161233e-05,-0.004825330649813016,0.000588872780402502,0.00010904048879941362,0.0003732368350028983
3010,joyful,neutral_minus_feedback_only,-0.0004714170470833778,-3.562259177366858e-05,-9.938093523184516e-05,-1.9264469544092258e-05,-0.002485028157631556,-0.00012048582235972094,-0.0003724570075670879,2.2470951080321832e-05
3001,joyful,supportive_minus_neutral,0.0024330444633960725,-0.00016830687721570352,0.0002392674485842388,-1.9100805123646765e-05,0.008045483380556107,-0.0012636010845502223,0.0012471179167429592,-0.0001226961612701416
3002,joyful,supportive_minus_neutral,0.0024330444633960725,-0.00016830687721570352,0.0002392674485842388,-1.9100805123646765e-05,0.008045483380556107,-0.0012636010845502223,0.0012471179167429592,-0.0001226961612701416
3003,joyful,supportive_minus_neutral,0.002333764669795831,-6.878140072027854e-05,0.0001703988760709764,-7.52285122871451e-06,0.007754964133103688,-0.0007468586166699733,0.0008034606774648036,5.9450666109721155e-05
3004,joyful,supportive_minus_neutral,0.0008494602516293526,-1.87469025452944e-06,7.15023527542751e-05,-0.001086772233247757,0.0013704958061377206,0.00026214122772216786,0.0007877200841903685,-0.00474695861339569
3005,joyful,supportive_minus_neutral,0.0024330444633960725,-0.00016830687721570352,0.0002392674485842388,-1.9100805123646765e-05,0.008045483380556107,-0.0012636010845502223,0.0012471179167429592,-0.0001226961612701416
3006,joyful,supportive_minus_neutral,0.0010702285915613174,-0.0001410742600758872,0.0002341439326604207,2.3861229419708295e-05,0.0021403046945730844,-0.0008565311630566914,0.0010691806674003603,9.474654992421483e-05
3007,joyful,supportive_minus_neutral,0.0023702485486865044,-0.00029389870663483974,0.0003556558241446812,0.00021367594599723799,0.007802262281378111,-0.0017500432829062147,0.0017374667028586073,0.000858001410961152
3008,joyful,supportive_minus_neutral,0.0018150075028340023,-6.35335842768352e-05,4.763926068941746e-05,-7.712841033935417e-06,0.004955298577745755,-0.0007397346198558812,0.0002889769772688542,-6.575634082158378e-05
3009,joyful,supportive_minus_neutral,0.003033381700515747,-0.00013791968425114925,0.0001451569298903145,-5.34082452456155e-05,0.011192046726743381,-0.0008175211648146306,0.0007243491709232339,-0.0002885982394218445
3010,joyful,supportive_minus_neutral,0.0006815778091549872,3.155879676341978e-05,0.0001372971882422769,-3.857389092445343e-05,0.001591688022017479,0.000160673012336095,0.0005458183586597443,-0.00017320861419041966
3001,joyful,supportive_minus_feedback_only,0.0015131513277689616,-0.0001286687950293224,0.00015594189365704847,5.128284295399994e-05,0.004892082264026006,-0.0005650694171587625,0.0007893840471903477,0.00018630425135294625
3002,joyful,supportive_minus_feedback_only,0.0015131513277689616,-0.0001286687950293224,0.00015594189365704847,5.128284295399994e-05,0.004892082264026006,-0.0005650694171587625,0.0007893840471903477,0.00018630425135294625
3003,joyful,supportive_minus_feedback_only,0.00039488834639390307,-4.607215523719791e-05,0.0001128621399402618,7.712294658025103e-05,0.0006708881507317225,-0.00012656922141710914,0.0005119380851586661,0.00034230699141820265
3004,joyful,supportive_minus_feedback_only,0.0005489579091469447,-0.0006994190315405528,7.181912660598756e-05,-7.899006207784008e-05,-0.00028372804323832196,-0.0021125152707099915,0.00044530133406321204,-0.00046748419602711994
3005,joyful,supportive_minus_feedback_only,0.0015131513277689616,-0.0001286687950293224,0.00015594189365704847,5.128284295399994e-05,0.004892082264026006,-0.0005650694171587625,0.0007893840471903477,0.00018630425135294625
3006,joyful,supportive_minus_feedback_only,0.0017202508946259816,-2.563496430714918e-06,6.748785575230926e-05,8.939603964487684e-05,0.00652801680068175,-0.00010875985026359515,0.00034692759315172817,0.00044079373280207345
3007,joyful,supportive_minus_feedback_only,0.0013186412552992502,-0.000517688939968745,0.0003619961440563203,0.0004633913437525432,0.0040372007836898165,-0.002274832377831141,0.0016919560730457306,0.0019914483030637102
3008,joyful,supportive_minus_feedback_only,0.0008865925172964732,-6.03737930456797e-05,0.0001472579936186473,1.2955069541931174e-05,0.001759288211663564,-0.0002235944072405498,0.000745964546998342,-5.334615707397678e-06
3009,joyful,supportive_minus_feedback_only,0.002080179254213969,-5.700364708900469e-05,0.00018034130334854126,3.4465889135996616e-05,0.006366716076930364,-0.0002286483844121303,0.0008333896597226462,8.463859558105382e-05
3010,joyful,supportive_minus_feedback_only,0.00021016076207160933,-4.0637950102487866e-06,3.791625301043169e-05,-5.7838360468545825e-05,-0.0008933401356140772,4.018718997637438e-05,0.00017336135109265644,-0.00015073766311009729
3001,grief_stricken,neutral_minus_feedback_only,-0.002311905100941658,-0.00018670683105786665,1.8683820962905537e-05,-4.5199692249298356e-05,-0.008365689466396967,-0.00106012572844823,0.0001510108510653172,-0.00011087954044342214
3002,grief_stricken,neutral_minus_feedback_only,-0.002311905100941658,-0.00018670683105786665,1.8683820962905537e-05,-4.5199692249298356e-05,-0.008365689466396967,-0.00106012572844823,0.0001510108510653172,-0.00011087954044342214
3003,grief_stricken,neutral_minus_feedback_only,-0.002057450637221336,-0.00023618315656979906,6.671622395515464e-05,6.0841441154478246e-06,-0.00774609794219335,-0.001176531116167705,0.00026133656501769976,3.63985697428397e-05
3004,grief_stricken,neutral_minus_feedback_only,-0.002201525370279948,0.00013121863206227579,5.736947059631348e-06,-0.00017300049463907837,-0.007338157544533412,-0.000661614040533701,0.0002687896291414891,-0.0006230225165685015
3005,grief_stricken,neutral_minus_feedback_only,-0.002311905100941658,-0.00018670683105786665,1.8683820962905537e-05,-4.5199692249298356e-05,-0.008365689466396967,-0.00106012572844823,0.0001510108510653172,-0.00011087954044342214
3006,grief_stricken,neutral_minus_feedback_only,-0.0017171726872523625,-0.0002938471734523773,6.497477491696684e-05,-7.13730851809181e-05,-0.0047116925319035845,-0.0013887683550516763,0.0003479868173599243,-0.0002393623193105059
3007,grief_stricken,neutral_minus_feedback_only,-0.002144434054692586,0.00014823526144027745,-9.284615516662624e-05,-0.0002682596445083619,-0.007516377915938696,0.0006384973724683136,-0.00041329612334569266,-0.001239493489265442
3008,grief_stricken,neutral_minus_feedback_only,-0.0008413186917702357,-0.0001432505746682484,0.00010969862341880787,-0.00012130389610926309,-0.001012757420539856,-0.0008428444465001426,0.0006060848633448283,-0.0004914005597432455
3009,grief_stricken,neutral_minus_feedback_only,-0.0017069642742474874,-0.00017810414234797163,9.822001059850048e-05,-8.37167104085284e-05,-0.006316268195708593,-0.0009020393093427015,0.00048204014698664376,-0.0003595302502314244
3010,grief_stricken,neutral_minus_feedback_only,-0.0016318091501792273,-0.00012061173717180902,-5.274737874666848e-05,-4.9462417761484594e-05,-0.006771209339300791,-0.0005365908145904537,-0.00013248622417449908,-0.00017340977986653704
3001,grief_stricken,supportive_minus_neutral,0.0007444349428017934,0.0001592958966890971,-2.7368466059367043e-06,1.991391181945803e-05,0.0007764548063278198,0.0009421060482660931,-0.00013214349746704104,-5.3276618321736744e-05
3002,grief_stricken,supportive_minus_neutral,0.0007444349428017934,0.0001592958966890971,-2.7368466059367043e-06,1.991391181945803e-05,0.0007764548063278198,0.0009421060482660931,-0.00013214349746704104,-5.3276618321736744e-05
3003,grief_stricken,supportive_minus_neutral,0.0007311967511971792,0.00012924472490946458,2.7049581209818573e-05,-1.485149065653447e-06,0.001567984620730082,0.0008008231719334917,-3.725787003835035e-05,2.344449361165509e-06
3004,grief_stricken,supportive_minus_neutral,0.0013007968664169312,0.00047418574492136636,9.272396564483651e-05,0.0003484765688578288,0.0030233263969421387,0.0014472057422002156,0.00019146998723347996,0.0014177064100901284
3005,grief_stricken,supportive_minus_neutral,0.0007444349428017934,0.0001592958966890971,-2.7368466059367043e-06,1.991391181945803e-05,0.0007764548063278198,0.0009421060482660931,-0.00013214349746704104,-5.3276618321736744e-05
3006,grief_stricken,supportive_minus_neutral,0.002108035609126091,0.00021391386787096589,-6.841793656349134e-05,4.865080118179356e-05,0.006708250691493352,0.0011477793256441742,-0.00045162687699000026,0.00022675096988677892
3007,grief_stricken,supportive_minus_neutral,0.0007610039164622624,0.00019243384401003508,-6.885205705960584e-05,-0.00011231650908788036,0.0009146320323149363,0.0012184605002403257,-0.0005202020208040872,-0.0008293936649958291
